xValue contrib
5.0123e+06 1.7878e+07
5.2484e+06 1.7023e+07
5.0288e+06 1.8531e+07
4.6039e+06 1.5685e+07
4.6487e+06 1.6512e+07
4.2169e+06 1.4649e+07
4.6671e+06 1.7776e+07
4.2534e+06 1.4283e+07
4.899e+06 1.6847e+07
4.6288e+06 1.6211e+07
4.9997e+06 1.8464e+07
4.5914e+06 1.5085e+07
3.9888e+06 1.4805e+07
4.2769e+06 1.4715e+07
4.6435e+06 1.7035e+07
4.1294e+06 1.4842e+07
4.3569e+06 1.6034e+07
4.7016e+06 1.7e+07
4.6441e+06 1.753e+07
4.5193e+06 1.7186e+07
4.151e+06 1.4968e+07
4.6612e+06 1.6357e+07
4.8224e+06 1.7369e+07
4.6829e+06 1.6002e+07
4.6712e+06 1.6317e+07
4.7044e+06 1.79e+07
4.0464e+06 1.4495e+07
4.2404e+06 1.5803e+07
4.4339e+06 1.6285e+07
4.3343e+06 1.4116e+07
4.241e+06 1.5904e+07
4.1711e+06 1.5092e+07
4.2849e+06 1.4079e+07
3.8342e+06 1.3319e+07
4.2337e+06 1.4928e+07
4.2251e+06 1.3462e+07
4.4694e+06 1.5177e+07
4.0242e+06 1.3766e+07
4.1736e+06 1.3109e+07
4.1315e+06 1.5021e+07
4.1754e+06 1.5574e+07
4.014e+06 1.4292e+07
3.8437e+06 1.4584e+07
4.0301e+06 1.4102e+07
4.0231e+06 1.3454e+07
3.8501e+06 1.2604e+07
4.0301e+06 1.405e+07
3.9557e+06 1.3998e+07
3.9984e+06 1.408e+07
3.7683e+06 1.2894e+07
4.1198e+06 1.4398e+07
3.99e+06 1.3387e+07
4.2939e+06 1.4484e+07
4.051e+06 1.378e+07
4.1718e+06 1.4133e+07
4.0446e+06 1.4321e+07
3.5749e+06 1.2408e+07
4.1033e+06 1.3751e+07
4.0078e+06 1.362e+07
3.9427e+06 1.3564e+07
3.6785e+06 1.2922e+07
3.7335e+06 1.2581e+07
4.1852e+06 1.4952e+07
3.6249e+06 1.2728e+07
3.6037e+06 1.3054e+07
3.7697e+06 1.2126e+07
3.6526e+06 1.3773e+07
3.6109e+06 1.2173e+07
3.5291e+06 1.1278e+07
3.5059e+06 1.1298e+07
3.6802e+06 1.4025e+07
3.5657e+06 1.1901e+07
3.5188e+06 1.2117e+07
3.6816e+06 1.3528e+07
3.6878e+06 1.2886e+07
3.2882e+06 1.1762e+07
3.5963e+06 1.1788e+07
3.4701e+06 1.2814e+07
3.5916e+06 1.33e+07
3.6296e+06 1.2419e+07
3.3301e+06 1.2106e+07
3.7993e+06 1.3783e+07
3.4788e+06 1.1912e+07
3.9624e+06 1.3451e+07
3.76e+06 1.3501e+07
3.8487e+06 1.3199e+07
3.7393e+06 1.2631e+07
3.4244e+06 1.2063e+07
3.806e+06 1.2929e+07
3.6895e+06 1.2801e+07
3.1645e+06 1.194e+07
3.2052e+06 1.1002e+07
3.0242e+06 1.153e+07
3.4531e+06 1.2774e+07
3.1851e+06 1.0319e+07
3.4829e+06 1.2432e+07
3.3222e+06 1.1147e+07
2.9591e+06 9.4976e+06
3.4631e+06 1.1497e+07
3.2481e+06 1.0826e+07
3.3339e+06 1.2014e+07
3.4789e+06 1.1752e+07
3.2557e+06 1.0833e+07
3.3011e+06 1.0669e+07
3.0638e+06 1.1505e+07
3.2872e+06 1.1572e+07
3.5168e+06 1.1571e+07
2.9796e+06 1.1112e+07
2.996e+06 1.0759e+07
3.1977e+06 1.1126e+07
3.069e+06 1.1274e+07
3.0945e+06 1.1451e+07
2.8178e+06 9.5547e+06
3.1074e+06 1.091e+07
2.9721e+06 1.134e+07
2.8053e+06 1.012e+07
3.1771e+06 1.0577e+07
2.8322e+06 9.562e+06
2.7831e+06 1.0216e+07
3.0404e+06 1.047e+07
2.9342e+06 1.0017e+07
2.6355e+06 9.5179e+06
2.8483e+06 9.6639e+06
2.8787e+06 9.997e+06
2.8633e+06 9.9721e+06
2.6719e+06 9.8822e+06
2.8908e+06 9.9152e+06
2.6291e+06 9.3275e+06
2.609e+06 9.4376e+06
2.9425e+06 1.0447e+07
2.699e+06 9.8175e+06
2.6305e+06 8.6594e+06
3.009e+06 1.0672e+07
2.7791e+06 8.9984e+06
2.9157e+06 9.5593e+06
2.7002e+06 9.1485e+06
2.5228e+06 9.2366e+06
2.9981e+06 1.0938e+07
2.6431e+06 8.9676e+06
2.6388e+06 9.5515e+06
2.7891e+06 9.5577e+06
2.7074e+06 9.3249e+06
3.0977e+06 9.6771e+06
2.7496e+06 8.5999e+06
2.7928e+06 9.7783e+06
2.8778e+06 9.9056e+06
3.1381e+06 1.087e+07
2.7885e+06 9.5911e+06
2.7738e+06 9.748e+06
2.7155e+06 9.2404e+06
2.7345e+06 9.4312e+06
2.6437e+06 9.233e+06
2.5137e+06 7.9792e+06
2.8061e+06 9.4466e+06
2.6799e+06 9.5014e+06
2.5614e+06 8.2581e+06
2.3756e+06 8.3669e+06
2.6205e+06 8.6239e+06
2.4277e+06 8.6581e+06
2.6286e+06 8.8565e+06
2.725e+06 9.6832e+06
2.4524e+06 8.1708e+06
2.4653e+06 8.8043e+06
2.5902e+06 7.7528e+06
2.4134e+06 7.8793e+06
2.5074e+06 8.3348e+06
2.4178e+06 7.5928e+06
2.739e+06 8.6224e+06
2.4286e+06 7.8772e+06
2.4286e+06 8.0919e+06
2.2709e+06 7.659e+06
2.5335e+06 8.0409e+06
2.3105e+06 7.679e+06
2.4175e+06 7.4244e+06
2.5303e+06 7.7378e+06
2.4941e+06 8.5209e+06
2.3938e+06 8.1984e+06
2.2084e+06 7.2198e+06
2.2753e+06 7.1011e+06
2.2269e+06 6.9693e+06
2.1957e+06 7.4102e+06
2.5744e+06 8.409e+06
2.4959e+06 8.4851e+06
2.369e+06 8.0377e+06
2.5111e+06 7.6749e+06
2.1686e+06 6.8122e+06
2.4731e+06 7.6943e+06
2.2337e+06 7.1211e+06
2.1443e+06 7.2617e+06
2.1433e+06 7.7575e+06
2.3806e+06 7.9607e+06
2.2611e+06 7.3882e+06
2.106e+06 6.9971e+06
2.0648e+06 6.2592e+06
2.1901e+06 7.0691e+06
1.9838e+06 6.4915e+06
2.0513e+06 6.7806e+06
2.2316e+06 7.6156e+06
2.1459e+06 6.5823e+06
2.0476e+06 7.0738e+06
2.2487e+06 7.0212e+06
2.2372e+06 7.6764e+06
2.1289e+06 7.0346e+06
2.3842e+06 7.9933e+06
2.3126e+06 7.9521e+06
2.4688e+06 8.0253e+06
2.5468e+06 7.7445e+06
2.3058e+06 7.0881e+06
2.2633e+06 7.2014e+06
2.2419e+06 7.4731e+06
2.1788e+06 7.0483e+06
2.3236e+06 7.2095e+06
2.0889e+06 6.6096e+06
2.057e+06 6.9092e+06
2.0655e+06 6.7503e+06
2.0225e+06 6.3965e+06
2.0064e+06 6.4207e+06
2.046e+06 6.4847e+06
2.0816e+06 6.6786e+06
2.098e+06 6.4348e+06
1.9763e+06 6.4124e+06
2.0529e+06 6.9393e+06
2.1217e+06 6.5558e+06
2.1771e+06 6.803e+06
2.0979e+06 6.6125e+06
1.9199e+06 5.9968e+06
2.1019e+06 5.9544e+06
1.9686e+06 6.4552e+06
1.9318e+06 6.2855e+06
2.0861e+06 5.2981e+06
1.9188e+06 4.8712e+06
1.8765e+06 5.7497e+06
1.8445e+06 5.3854e+06
1.9967e+06 5.5467e+06
